Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
CHEN FAMILY HALL,CHEN FL 3,CHEN 302,CHEN 302 302C,CHEN 302 302C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 302,CHEN 302 302D,CHEN 302 302D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 306,CHEN 306 306A,CHEN 306 306A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 306,CHEN 306 306B,CHEN 306 306B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 306,CHEN 306 306C,CHEN 306 306C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 306,CHEN 306 306D,CHEN 306 306D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 307,CHEN 307 307A,CHEN 307 307A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 307,CHEN 307 307B,CHEN 307 307B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 307,CHEN 307 307C,CHEN 307 307C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 307,CHEN 307 307D,CHEN 307 307D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 313,CHEN 313 313A,CHEN 313 313A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 313,CHEN 313 313B,CHEN 313 313B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 313,CHEN 313 313C,CHEN 313 313C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 313,CHEN 313 313D,CHEN 313 313D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 317,CHEN 317 317A,CHEN 317 317A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 317,CHEN 317 317B,CHEN 317 317B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 317,CHEN 317 317C,CHEN 317 317C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 317,CHEN 317 317D,CHEN 317 317D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 322,CHEN 322 322A,CHEN 322 322A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 322,CHEN 322 322B,CHEN 322 322B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 322,CHEN 322 322C,CHEN 322 322C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 3,CHEN 322,CHEN 322 322D,CHEN 322 322D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 413,CHEN 413 413A,CHEN 413 413A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 413,CHEN 413 413B,CHEN 413 413B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 413,CHEN 413 413C,CHEN 413 413C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 413,CHEN 413 413D,CHEN 413 413D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 417,CHEN 417 417A,CHEN 417 417A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 417,CHEN 417 417B,CHEN 417 417B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 417,CHEN 417 417C,CHEN 417 417C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 417,CHEN 417 417D,CHEN 417 417D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
CHEN FAMILY HALL,CHEN FL 4,CHEN 419,CHEN 419 419A,CHEN 419 419A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 419,CHEN 419 419B,CHEN 419 419B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 419,CHEN 419 419C,CHEN 419 419C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 4,CHEN 419,CHEN 419 419D,CHEN 419 419D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 501,CHEN 501 501A,CHEN 501 501A-1,Single (Suite/Apartment),2,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 501,CHEN 501 501B,CHEN 501 501B-1,Single (Suite/Apartment),2,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 506,CHEN 506 506A,CHEN 506 506A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 506,CHEN 506 506B,CHEN 506 506B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 506,CHEN 506 506C,CHEN 506 506C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 506,CHEN 506 506D,CHEN 506 506D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 517,CHEN 517 517A,CHEN 517 517A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 517,CHEN 517 517B,CHEN 517 517B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 517,CHEN 517 517C,CHEN 517 517C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 517,CHEN 517 517D,CHEN 517 517D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 519,CHEN 519 519A,CHEN 519 519A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 519,CHEN 519 519B,CHEN 519 519B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 519,CHEN 519 519C,CHEN 519 519C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
CHEN FAMILY HALL,CHEN FL 5,CHEN 519,CHEN 519 519D,CHEN 519 519D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
DANOFF HALL,DANOFF FL 1,DANOFF 114,DANOFF 114 114A,DANOFF 114 114A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
DANOFF HALL,DANOFF FL 1,DANOFF 114,DANOFF 114 114B,DANOFF 114 114B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
DANOFF HALL,DANOFF FL 1,DANOFF 114,DANOFF 114 114C,DANOFF 114 114C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
DANOFF HALL,DANOFF FL 1,DANOFF 114,DANOFF 114 114D,DANOFF 114 114D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
DANOFF HALL,DANOFF FL 1,DANOFF 115,DANOFF 115 115A,DANOFF 115 115A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
DANOFF HALL,DANOFF FL 1,DANOFF 115,DANOFF 115 115B,DANOFF 115 115B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
DANOFF HALL,DANOFF FL 1,DANOFF 115,DANOFF 115 115C,DANOFF 115 115C-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
DANOFF HALL,DANOFF FL 1,DANOFF 115,DANOFF 115 115D,DANOFF 115 115D-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
DANOFF HALL,DANOFF FL 1,DANOFF 119,DANOFF 119 119A,DANOFF 119 119A-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
DANOFF HALL,DANOFF FL 1,DANOFF 119,DANOFF 119 119B,DANOFF 119 119B-1,Single (Suite/Apartment),4,CoEd,24-25 Fall Senior Selection
